 "indic_de,geo\time","2011 ","2012 ","2013 ","2014 ","2015 ","2016 ","2017 ","2018 ","2019 ","2020 ","2021 ","2022 "
"JAN,NO","4920305 ","4985870 ","5051275 ","5107970 ","5166493 ","5210721 ","5258317 ","5295619 ","5328212 ","5367580 ","5391369 ","5425270 "
"JAN,PL","38062718 ","38063792 ","38062535 ","38017856 ","38005614 ","37967209 ","37972964 ",37976687 e,"37972812 ",37958138 e,37840001 ep,"37654247 "
"JAN,PT","10572721 ","10542398 ","10487289 ","10427301 ","10374822 ","10341330 ","10309573 ","10291027 ","10276617 ","10295909 ","10298252 ",10352042 bp
"JAN,RO","20199059 ","20095996 ","20020074 ","19947311 ","19870647 ","19760585 ","19643949 ","19533481 ","19414458 ",19328838 e,"19201662 ",19038098 e
"JAN,RS",7251549 b,"7216649 ","7181505 ","7146759 ","7114393 ","7076372 ","7040272 ","7001444 ","6963764 ","6926705 ","6871547 ","6797105 "
"JAN,RU","142856536 ","143056383 ",": ","143666931 ",": ",": ",": ",": ",": ",": ",": ",": "
"JAN,SE","9415570 ","9482855 ","9555893 ","9644864 ","9747355 ","9851017 ","9995153 ","10120242 ","10230185 ","10327589 ","10379295 ","10452326 "
"JAN,SI","2050189 ","2055496 ","2058821 ","2061085 ","2062874 ","2064188 ","2065895 ","2066880 ","2080908 ","2095861 ","2108977 ","2107180 "
"JAN,SK","5392446 ","5404322 ","5410836 ","5415949 ","5421349 ","5426252 ","5435343 ","5443120 ","5450421 ","5457873 ","5459781 ","5434712 "
"JAN,SM","31863 ","33376 ","33562 ","32520 ","32789 ","33005 ","33196 ","34453 ","34590 ","34735 ","34805 ","33698 "
"JAN,TR","73722988 ","74724269 ","75627384 ","76667864 ","77695904 ","78741053 ","79814871 ","80810525 ",82003882 be,"83154997 ","83614362 ","84680273 "
"JAN,UA","45598179 ","45453282 ","45372692 ","45245894 ",42759661 b,"42590879 ","42414905 ","42216766 ","41983564 ","41732779 ","41418717 ",40997698 e
"JAN,UK","63022532 ","63495088 ","63905342 ","64351203 ","64853393 ","65379044 ","65844142 ","66273576 ","66647112 ","67025542 ",": ",": "
"JAN,XK",1794180 b,1780021 e,1815606 e,1820631 e,1804944 e,1771604 e,1783531 e,"1798506 ","1795666 ","1782115 ",": ",": "
